id СТ-ТП;Код станции;№ ТП ;Расстояние
1;281315;280;11
2;281404;280;124
3;281508;280;133
4;281512;280;146
5;281705;280;157
6;281809;280;166
7;281902;280;177
8;281917;280;182
9;281921;280;184
10;282002;280;187
11;282017;280;198
12;282106;280;211
13;282205;280;224
14;282407;280;232
15;281315;368;121
16;281404;368;108
17;281508;368;99
18;281512;368;86
19;281705;368;75
20;281809;368;66
21;281902;368;55
22;281917;368;50
23;281921;368;48
24;282002;368;45
25;282017;368;34
26;282106;368;21
27;282205;368;8
28;282407;368;0
29;284402;368;12
30;284417;368;27
31;284421;368;41
32;284436;368;48
33;284506;368;52
34;284606;368;64
35;284703;368;76
36;284807;368;89
37;284811;368;100
38;284900;368;113
39;284915;368;121
40;285000;368;133
41;285104;368;141
42;285119;368;146
43;285123;368;158
44;285208;368;171
45;285301;368;182
46;285405;368;192
47;285416;368;204
48;285424;368;216
49;285509;368;226
50;285513;368;234
51;285602;368;244
52;285706;368;246
53;285801;368;255
54;282407;561;255
55;284402;561;243
56;284417;561;228
57;284421;561;214
58;284436;561;207
59;284506;561;203
60;284606;561;191
61;284703;561;179
62;284807;561;166
63;284811;561;155
64;284900;561;142
65;284915;561;134
66;285000;561;122
67;285104;561;114
68;285119;561;109
69;285123;561;97
70;285208;561;84
71;285301;561;73
72;285405;561;63
73;285416;561;51
74;285424;561;39
75;285509;561;29
76;285513;561;21
77;285602;561;11
78;285706;561;9
79;285801;561;0
80;286605;561;4
81;286611;561;11
82;286709;561;23
83;286713;561;35
84;286802;561;51
85;286817;561;62
86;286906;561;73
87;287006;561;86
88;287010;561;97
89;287025;561;109
90;287102;561;117
91;287203;561;128
92;285801;14141414;697
93;286605;14141414;693
94;286611;14141414;686
95;286709;14141414;674
96;286713;14141414;662
97;286802;14141414;646
98;286817;14141414;635
99;286906;14141414;624
100;287006;14141414;611
101;287010;14141414;600
102;287025;14141414;588
103;287102;14141414;580
104;287203;14141414;569
105;545107;37;171
106;546704;37;6
107;632810;91;33
108;967102;85;68
109;519110;105;283
110;965605;111;323
111;545107;146;313
112;546704;146;478
113;551524;161;153
114;551219;161;134
115;787706;175;59
116;936706;200;218
117;941102;200;322
118;919607;210;778
119;921503;222;458
120;941102;248;323
121;965605;268;7
122;919607;268;74
123;967102;268;385
124;385302;277;16
125;519110;301;11
126;25116;336;214
127;936706;403;29
128;551524;448;196
129;551219;448;215
130;632810;463;185
131;516906;562;16
132;516906;565;60
133;921503;580;211
134;385302;586;36
135;25116;673;5
136;234403;118;63
137;234403;524;28
138;101409;655;24
139;230807;311;44
140;230807;444;36
141;235302;339;33
142;235302;488;87
143;423108;218;39
144;423108;652;38
145;736009;263;25
146;736009;16;111
147;316001;181;19
148;316001;410;48
149;681304;595;475
150;681304;641;563
