Код станции;Название станции;Название дороги;Параграф;Страница ТР4Т1;Строка ТР4Т1
281917;Бп 1264 км;Северная;-;482;8
281921;БП 1266 км;Северная;-;482;9
284436;Бп 1363 км;Северная;-;482;19
286713;Бп Виер;Северная;-;482;45
282017;Бп Гам;Северная;-;482;11
285416;Бп Карсты;Северная;-;482;34
284417;Бп Сордью;Северная;-;482;17
282106;Вездино;Северная;-;482;12
284807;Весляна;Северная;-;482;23
285706;Ветлосян;Северная;-;482;39
286802;Вис;Северная;-;482;46
287203;Зеленоборск;Северная;-;482;53
285000;Иоссер;Северная;-;482;27
287102;Ираель;Северная;-;482;52
286709;Керки;Северная;-;482;44
284506;Княжпогост;Северная;-;482;20
285104;Крепежная;Северная;-;482;28
287010;Лемью;Северная;-;482;50
281902;Мадмас;Северная;-;482;7
287006;Малая Пера;Северная;-;482;49
282002;Межог;Северная;-;482;10
282407;Микунь;Северная;-;482;14,15
284421;Муська;Северная;-;482;18
284915;Обп Белки;Северная;-;482;26
287025;Обп Войвож;Северная;-;482;51
285513;Обп Доманник;Северная;-;482;37
286611;Обп Катыдведь;Северная;-;482;43
285424;Обп Луньвож;Северная;-;482;35
286817;Оп Айюва;Северная;-;482;47
285119;Оп Ропча;Северная;-;482;29
284811;Оп Таежный;Северная;-;482;24
281809;Пилес;Северная;-;482;6
286605;Пожня;Северная;-;482;42
284606;Ракпас;Северная;-;482;21
286906;Седьвож;Северная;-;482;48
284900;Синдор;Северная;-;482;25
281315;Слободчиково;Северная;-;482;1
285801;Сосногорск;Северная;-;482;40,41
285123;Тиманский;Северная;-;482;30
285405;Тобысь;Северная;-;482;33
284703;Тракт;Северная;-;482;22
281508;Тыва;Северная;-;482;3
281512;Тыла-Иоль;Северная;-;482;4
281404;Урдома;Северная;-;482;2
285602;Ухта;Северная;-;482;38
234403;Фруктовая;Московская;П § 1, 2, 3, 4, 5, 9;345;25
706003;Фрунзе;Алматинская;П § 3, 6;135;21
101409;Фрунзенское;Прибалтийская;П § 3;418;32
230807;Фрязево;Московская;О § 3;316;20
235302;Фрязино;Московская;О § 3;343;16
423108;Фундуклеевка;Одесская;П § 1, 2, 3, 4, 5, 9;364;16
736009;Фуркат;Среднеазиатская;П § 1, 3;514;3
316001;Фурманов;Северная;П § 1, 2, 3, 4, 5, 9;487;5
681304;Фурмановский;Целинная;Б § 3;524;38
545107;Худат;Азербайджанская;П § 1, 3, 4, 5;124;3
551524;Худаферин (рзд);-;О;127;15
921503;Худоеланская;Восточно-Сибирская;П § 1, 3, 4;167;38
787706;Худяково;Свердловская;П § 1, 3, 4;472;43
936706;Хужир;Восточно-Сибирская;Б § 1;173;1
551219;Хурама (рзд);Азербайджанская;О;127;18
965605;Хурба;Дальневосточная;П § 1, 3;193;28
919607;Хурмули;Байкало-Амурская;Б § 3;143;36
385302;Хуст;Львовская;П § 1, 2, 3, 4, 5, 9;304;47
632810;Хутор;Куйбышевская;Б;276;29
328704;Хутор-Михайловский;Юго-Западная;П § 1, 2, 3, 4, 9;546;1
516906;Хуторская;Северо-Кавказская;П § 1, 2, 3, 4, 9;504;39
967102;Хуту (рзд);Дальневосточная;О § 1;194;26
519110;Хутуны (рзд);Северо-Кавказская;О;499;28
941102;Хушенга;Забайкальская;П § 1, 3;22;35
546704;Хырдалан;Азербайджанская;П § 1, 3, 4, 8, 9;124;22
374901;Хыров;Львовская;П § 1, 2, 3, 4;307;25
25116;Хямекоски;Октябрьская;О;398;36
285208;Чиньяворык;Северная;-;482;31
284402;Чуб;Северная;-;482;16
282205;Шежам;Северная;-;482;13
281705;Шнес;Северная;-;482;5
285301;Юкарка;Северная;-;482;32
285509;Ярега;Северная;-;482;36
