id участка;Название учатска;Название дороги
4;Баладжары – Гудермес;Азербайджанская
12;Вернадовка – Пенза I;Куйбышевская
14;Винино – Комсомольск-Сорт.;Дальневосточная
15;Волгоград II – Куберле;Северо-Кавказская
9;Волочаевка II – Комсомольск-Сорт.;Дальневосточная
18;Воскресенск – Рыбное ;Московская
5;Джульфа – Османлы-Новые;-
7;Егоршино;Свердловская
24;Ермолино – Нерехта;Северная
16;Заудинский – Карымская;Забайкальская
8;Заудинский – Наушки;Восточно-Сибирская
22;Им. Тараса Шевченко – Чернолесская;Одесская
6;Иркутск-Пасс – Тайшет;Восточно-Сибирская
23;Коканд – Андижан;Среднеазиатская
10;Комсомольск-Сортировочный – Известковая;Байкало-Амурская
11;Королево – Тересва;Львовская
1;Котлас узловой-Микунь;Северная
20;Кусково – Орехово-Зуево;Московская
17;Лодейное Поле –  Янисъярви;Октябрьская
21;Лосиноостровская – Пост 81 км;Московская
2;Микунь-Сосногорск;Северная
3;Сосногорск-Воркута;Северная
13;Сосыка-Рост. – Староминская-Ейская;Северо-Кавказская
25;Тобол – Целиноград;Целинная
19;Черняховск;Прибалтийская
0;ТП;-
